id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
ds,meet,i,en,386.73,2899.71,809.63,455.10,420.20,338.56,351.58,368.21,2827.12,2977.98,2846.39,2731.54,3115.52
ds,beat,i,en,342.76,1714.26,3774.86,328.92,345.32,326.80,346.71,366.06,1487.45,2515.69,1167.43,1057.34,2343.41
ds,feet,i,en,365.41,1639.85,1473.00,326.10,335.43,340.51,414.74,410.29,1682.90,1561.83,1554.04,2097.25,1303.24
ds,seat,i,en,571.63,1669.96,570.92,543.45,603.70,575.83,583.88,551.28,1872.09,1633.39,1658.33,1520.27,1665.70
ds,heat,i,en,357.24,1771.56,657.50,333.54,338.63,345.12,344.30,424.62,1734.37,1787.01,1757.11,1590.14,1989.18
ds,fleet,i,en,340.92,1590.89,810.53,340.15,340.97,336.78,334.50,352.20,1981.54,1643.60,1484.11,1339.07,1506.13
ds,moss,a,en,1103.24,1424.29,818.28,1207.48,1099.48,969.85,1156.64,1082.77,1408.58,1466.60,1218.88,1497.72,1529.69
ds,bot,a,en,1114.52,1476.43,306.49,1017.82,1110.09,1186.49,1161.89,1096.29,1430.55,1458.46,1455.79,1519.23,1518.14
ds,fought,a,en,957.94,1381.48,411.25,907.62,968.59,1032.99,954.85,925.65,1406.95,1443.23,1304.61,1324.99,1427.61
ds,sought,a,en,958.35,1373.87,326.85,905.05,910.32,918.01,996.31,1062.07,1432.50,1360.40,1362.59,1293.81,1420.04
ds,caught,a,en,1001.85,1426.36,418.27,937.25,945.79,985.15,1144.28,996.78,1368.21,1418.95,1418.34,1422.68,1503.65
ds,brought,a,en,1053.41,1455.82,296.99,1053.67,1115.01,1047.45,1084.66,966.28,1484.70,1445.32,1452.03,1445.82,1451.23
ds,moot,u,en,404.19,1032.22,491.79,393.66,342.07,341.46,341.23,602.54,1189.48,1034.32,975.92,968.49,992.89
ds,boot,u,en,428.53,1100.57,493.35,489.49,429.45,344.78,389.48,489.47,1104.37,1205.53,1086.47,1123.10,983.37
ds,food,u,en,390.95,1049.10,445.62,368.79,374.48,362.92,436.35,412.22,1017.28,1070.27,1080.94,1168.95,908.09
ds,soothe,u,en,405.80,1227.05,556.24,356.86,364.21,363.77,456.31,487.84,1311.42,1174.40,1299.85,1128.12,1221.45
ds,cooed,u,en,456.16,1137.30,537.66,502.53,362.35,363.06,509.32,543.54,1058.18,1024.27,1002.14,1275.59,1326.31
ds,dude,u,en,448.27,1618.25,656.44,441.31,393.86,433.04,486.33,486.82,1990.40,1715.64,1479.77,1422.57,1482.89
ds,mis,i,sp,541.16,1293.18,538.17,490.43,556.64,559.88,578.36,520.47,1201.80,1427.15,1245.79,1304.35,1286.80
ds,bis,i,sp,496.37,1621.61,186.21,528.46,506.77,515.60,484.47,446.57,1588.88,1582.25,1665.22,1636.83,1634.86
ds,pis,i,sp,386.04,1653.96,400.92,434.34,409.02,378.96,362.80,345.08,1733.76,1715.47,1536.12,1565.67,1718.80
ds,cito,i,sp,339.07,1548.61,840.48,360.60,329.44,320.62,338.90,345.79,1515.26,1556.19,1781.66,1670.12,1219.80
ds,fito,i,sp,327.94,1694.95,426.76,316.42,321.14,326.60,333.15,342.41,1796.02,1621.79,1668.29,1754.00,1634.66
ds,quito,i,sp,328.56,1623.26,318.51,312.43,324.28,330.93,337.42,337.76,1604.83,1518.07,1612.12,1633.46,1747.81
ds,mas,a,sp,1100.38,1634.39,705.85,1205.99,1116.94,1144.75,1063.38,970.86,1723.31,1698.30,1424.46,1654.59,1671.28
ds,vas,a,sp,1059.30,1478.50,1514.67,1121.45,833.45,1305.38,1031.68,1004.55,1650.42,1427.56,1654.72,1480.43,1179.37
ds,pasa,a,sp,890.64,1518.80,1168.18,1056.02,1173.06,1024.17,814.90,385.03,1629.88,1670.53,1568.35,1251.46,1473.77
ds,sala,a,sp,1028.16,1573.98,1494.27,960.56,1131.20,796.90,1218.87,1033.29,1771.99,1659.16,1355.59,1667.76,1415.39
ds,fama,a,sp,1114.18,1457.02,1003.41,1076.07,1100.14,1139.16,969.43,1286.09,1549.77,1564.76,1306.60,1222.82,1641.17
ds,cama,a,sp,978.67,1404.34,928.87,770.81,1069.66,1087.54,1003.11,962.24,1683.92,1506.42,1178.75,1262.35,1390.29
ds,musa,u,sp,337.23,897.51,610.36,334.31,320.12,325.29,349.48,356.97,832.35,935.13,1110.54,828.49,781.05
ds,bulto,u,sp,431.39,899.79,363.96,499.81,488.64,409.45,402.51,356.52,954.26,830.45,830.95,944.78,938.50
ds,puso,u,sp,371.84,936.22,348.38,389.94,349.35,341.80,420.54,357.56,957.86,961.46,995.94,972.67,793.18
ds,supo,u,sp,379.05,1129.72,601.34,333.79,343.61,384.00,443.46,390.37,1398.71,1219.67,1056.27,1078.35,895.62
ds,fumo,u,sp,364.98,922.70,373.21,353.03,363.66,361.03,352.00,395.18,914.75,941.10,967.00,1024.04,766.62
ds,cura,u,sp,364.15,963.82,377.12,366.08,391.39,372.73,347.48,343.10,903.11,970.93,1009.89,895.45,1039.74
